Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.00000000	-63.06657000	-84.04432000
0.00027248	-66.04377000	-85.12730000
0.00054496	-74.10118000	-88.32028000
0.00081744	-90.65125000	-89.68536000
0.00108991	-104.67520000	-89.72295000
0.00136239	-104.96470000	-89.87406000
0.00163487	-105.52810000	-90.58147000
0.00190735	-106.78870000	-90.02966000
0.00217983	-107.14130000	-89.78524000
0.00245231	-108.57690000	-89.31371000
0.00272478	-109.44830000	-89.20205000
0.00299726	-108.42330000	-88.98769000
0.00326974	-107.89170000	-88.94236000
0.00354222	-107.46970000	-89.58952000
0.00381470	-106.77980000	-89.76632000
0.00408718	-106.62040000	-89.96658000
0.00435965	-108.01350000	-90.25373000
0.00463213	-109.68680000	-90.03185000
0.00490461	-110.67700000	-89.65411000
0.00517709	-110.48740000	-91.00725000
0.00544957	-110.21580000	-90.91376000
0.00572205	-109.79790000	-90.25458000
0.00599452	-109.01590000	-90.27467000
0.00626700	-109.00840000	-90.36700000
0.00653948	-108.05840000	-90.41541000
0.00681196	-108.63400000	-90.37449000
0.00708444	-109.58850000	-90.66293000
0.00735692	-110.41070000	-90.44945000
0.00762940	-110.38330000	-90.70029000
0.00790187	-110.20850000	-90.44640000
0.00817435	-111.08180000	-90.44892000
0.00844683	-109.82110000	-89.79960000
0.00871931	-108.95970000	-90.10728000
0.00899179	-109.10260000	-89.75697000
0.00926427	-110.45080000	-89.95412000
0.00953674	-109.76870000	-89.85478000
0.00980922	-108.85580000	-90.52937000
0.01008170	-108.74440000	-90.29106000
0.01035418	-108.60620000	-90.10303000
0.01062666	-108.52960000	-90.29036000
0.01089914	-109.12330000	-90.24747000
0.01117161	-109.37810000	-89.56978000
0.01144409	-108.88180000	-89.88398000
0.01171657	-109.71930000	-91.72066000
0.01198905	-110.04950000	-90.98612000
0.01226153	-109.53900000	-90.98614000
0.01253401	-109.91230000	-90.81345000
0.01280648	-109.19620000	-90.75478000
0.01307896	-108.74390000	-90.81678000
0.01335144	-109.37270000	-90.00488000
0.01362392	-108.69110000	-89.80105000
0.01389640	-108.34210000	-90.05444000
0.01416888	-108.77860000	-89.22749000
0.01444135	-108.81710000	-90.48263000
0.01471383	-109.86870000	-89.57011000
0.01498631	-110.50720000	-89.34608000
0.01525879	-110.38350000	-89.42060000
0.01553127	-110.41530000	-90.56934000
0.01580375	-109.46920000	-90.97237000
0.01607623	-108.71300000	-90.25655000
0.01634870	-109.58830000	-90.09332000
0.01662118	-109.37670000	-90.45782000
0.01689366	-109.48760000	-91.17407000
0.01716614	-109.18540000	-91.49637000
0.01743862	-109.28800000	-90.27924000
0.01771110	-109.57680000	-90.12039000
0.01798357	-109.39990000	-90.51069000
0.01825605	-109.50310000	-90.31239000
0.01852853	-109.30810000	-90.32129000
0.01880101	-109.29480000	-90.70883000
0.01907349	-109.63930000	-90.89146000
0.01934597	-110.63610000	-90.03367000
0.01961844	-110.58680000	-89.94024000
0.01989092	-109.91120000	-89.95061000
0.02016340	-109.57480000	-91.13581000
0.02043588	-109.42730000	-92.23647000
0.02070836	-109.94720000	-91.31770000
0.02098084	-109.92220000	-90.34653000
0.02125331	-109.87260000	-90.88841000
0.02152579	-108.75530000	-90.90409000
0.02179827	-108.14000000	-90.18771000
0.02207075	-108.16840000	-90.15621000
0.02234323	-109.25780000	-89.55304000
0.02261571	-108.78370000	-89.50320000
0.02288819	-108.20930000	-89.48203000
0.02316066	-108.57830000	-89.89182000
0.02343314	-108.55960000	-90.88556000
0.02370562	-108.48700000	-90.84387000
0.02397810	-108.59830000	-90.50354000
0.02425058	-109.74140000	-91.27758000
0.02452306	-109.29200000	-90.96203000
0.02479553	-108.23690000	-91.09283000
0.02506801	-108.37670000	-90.65725000
0.02534049	-108.50020000	-90.32876000
0.02561297	-108.20500000	-90.12162000
0.02588545	-108.45800000	-90.90176000
0.02615793	-107.80370000	-92.24503000
0.02643040	-105.03960000	-91.53978000
0.02670288	-100.53230000	-91.36561000
0.02697536	-99.85692000	-89.91599000
0.02724784	-100.77970000	-89.55217000
0.02752032	-104.15030000	-89.33853000
0.02779280	-107.22360000	-89.32964000
0.02806527	-106.71850000	-89.32536000
0.02833775	-107.80780000	-89.08426000
0.02861023	-108.30320000	-89.96070000
0.02888271	-108.91040000	-90.70925000
0.02915519	-109.60070000	-91.36472000
0.02942767	-109.25550000	-91.12635000
0.02970014	-108.93120000	-91.06679000
0.02997262	-109.11330000	-90.24181000
0.03024510	-109.30070000	-90.19070000
0.03051758	-109.29930000	-90.22607000
0.03079006	-109.21190000	-89.96896000
0.03106254	-109.04420000	-90.61532000
0.03133502	-109.89040000	-90.53767000
0.03160749	-110.01590000	-90.78638000
0.03187997	-109.58980000	-90.68555000
0.03215245	-109.64630000	-90.18793000
0.03242493	-110.17310000	-90.83542000
0.03269741	-109.45300000	-89.92377000
0.03296989	-108.71390000	-90.12521000
0.03324236	-109.09580000	-90.76385000
0.03351484	-109.19260000	-90.89207000
0.03378732	-109.97350000	-91.06776000
0.03405980	-108.73340000	-90.35566000
0.03433228	-108.20050000	-90.70480000
0.03460476	-108.55470000	-91.55817000
0.03487723	-109.28370000	-90.90072000
0.03514971	-110.20720000	-90.66654000
0.03542219	-109.63710000	-90.00447000
0.03569467	-108.43820000	-88.99545000
0.03596715	-109.58920000	-89.20968000
0.03623963	-109.50600000	-90.04311000
0.03651210	-109.70410000	-90.89525000
0.03678458	-110.21550000	-91.07465000
0.03705706	-110.18060000	-91.54653000
0.03732954	-109.55420000	-90.91340000
0.03760202	-108.78530000	-90.57652000
0.03787450	-108.53320000	-89.87424000
0.03814698	-108.74740000	-90.13083000
0.03841945	-109.94490000	-90.72644000
0.03869193	-110.79490000	-89.83998000
0.03896441	-110.72780000	-89.82358000
0.03923689	-110.09140000	-90.54102000
0.03950937	-110.31290000	-91.75863000
0.03978185	-110.30140000	-91.34445000
0.04005432	-110.41410000	-90.52294000
0.04032680	-109.92600000	-89.94331000
0.04059928	-109.33430000	-90.39204000
0.04087176	-110.03360000	-91.51044000
0.04114424	-110.18830000	-93.29898000
0.04141672	-109.60540000	-92.02396000
0.04168919	-109.46100000	-91.79916000
0.04196167	-109.16310000	-91.23412000
0.04223415	-109.18170000	-91.26773000
0.04250663	-109.15810000	-91.24938000
0.04277911	-109.09930000	-91.20344000
0.04305159	-109.01770000	-91.06645000
0.04332406	-109.01340000	-90.05273000
0.04359654	-110.19940000	-90.27728000
0.04386902	-110.78130000	-90.84566000
0.04414150	-110.04390000	-91.00260000
0.04441398	-109.37220000	-90.32105000
0.04468646	-107.89960000	-90.13525000
0.04495893	-107.57930000	-89.52528000
0.04523141	-106.49280000	-89.19350000
0.04550389	-108.24390000	-89.03445000
0.04577637	-109.82560000	-89.75568000
0.04604885	-110.49860000	-89.68823000
0.04632133	-110.54960000	-90.62634000
0.04659381	-109.86090000	-90.82212000
0.04686628	-109.32370000	-90.67865000
0.04713876	-108.95210000	-91.11102000
0.04741124	-108.82490000	-91.01354000
0.04768372	-108.71770000	-90.90363000
0.04795620	-108.76360000	-90.49951000
0.04822868	-109.32720000	-90.83955000
0.04850115	-109.04820000	-90.37937000
0.04877363	-109.43940000	-89.94086000
0.04904611	-109.16850000	-90.38260000
0.04931859	-110.05780000	-90.36268000
0.04959107	-109.50760000	-91.13267000
0.04986355	-110.02210000	-90.94530000
0.05013602	-109.75380000	-91.24100000
0.05040850	-109.49620000	-91.12493000
0.05068098	-109.50440000	-90.83278000
0.05095346	-109.40720000	-91.22809000
0.05122594	-109.15380000	-91.22665000
0.05149842	-109.54650000	-91.01481000
0.05177089	-109.37310000	-89.88428000
0.05204337	-109.62000000	-89.97439000
0.05231585	-110.99740000	-89.37058000
0.05258833	-110.58600000	-89.61456000
0.05286081	-109.76380000	-90.58357000
0.05313329	-108.37500000	-91.13173000
0.05340577	-108.27000000	-90.97581000
0.05367824	-109.05880000	-90.78720000
0.05395072	-109.28750000	-91.82732000
0.05422320	-109.99640000	-92.46848000
0.05449568	-110.27350000	-91.10423000
0.05476816	-109.72730000	-90.04671000
0.05504064	-108.90070000	-90.15501000
0.05531311	-109.54990000	-90.76208000
0.05558559	-109.34750000	-91.83180000
0.05585807	-108.79050000	-91.84918000
0.05613055	-108.55380000	-91.68289000
0.05640303	-108.85960000	-90.38295000
0.05667551	-109.00060000	-91.21442000
0.05694798	-109.46530000	-91.36025000
0.05722046	-110.36360000	-91.77472000
0.05749294	-110.79780000	-91.55616000
0.05776542	-110.24110000	-90.92552000
0.05803790	-109.98300000	-90.80165000
0.05831038	-109.46050000	-91.31605000
0.05858285	-109.58130000	-91.56219000
0.05885533	-109.48260000	-91.24308000
0.05912781	-110.04980000	-92.38290000
0.05940029	-110.55910000	-92.54317000
0.05967277	-110.08010000	-91.08482000
0.05994525	-109.68880000	-90.88282000
0.06021772	-109.85430000	-91.42160000
0.06049020	-109.68070000	-91.50026000
0.06076268	-109.40840000	-90.63361000
0.06103516	-109.40060000	-90.22021000
0.06130764	-109.36410000	-90.67265000
0.06158012	-109.62380000	-90.36696000
0.06185260	-109.26980000	-90.05291000
0.06212507	-109.63770000	-90.60649000
0.06239755	-108.76610000	-91.23971000
0.06267003	-107.08660000	-91.04301000
0.06294251	-105.91100000	-90.38837000
0.06321499	-107.16330000	-90.12440000
0.06348747	-108.65990000	-91.04264000
0.06375994	-109.51020000	-91.62073000
0.06403242	-108.99540000	-91.01382000
0.06430490	-108.71670000	-90.91274000
0.06457738	-109.21880000	-90.47227000
0.06484986	-109.82390000	-90.28588000
0.06512234	-110.33410000	-90.74920000
0.06539481	-110.84950000	-90.68771000
0.06566729	-110.83950000	-91.13285000
0.06593977	-109.80860000	-91.45766000
0.06621225	-109.55780000	-90.94312000
0.06648473	-109.59920000	-90.63485000
0.06675721	-109.89890000	-90.00077000
0.06702968	-109.54830000	-90.03461000
0.06730216	-110.74930000	-91.55202000
0.06757464	-111.13800000	-91.70648000
0.06784712	-110.04600000	-90.60733000
0.06811960	-109.84600000	-90.22356000
