Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-97.77312054	-0.45017220	0.01577879
-97.76496054	-0.45017220	0.01577879
-97.75680054	-0.45017220	0.01577879
-97.74864054	-0.45017220	0.01577879
-97.74048054	-0.45017220	0.01577879
-97.73232054	-0.45017220	0.01577879
-97.72416054	-0.45017220	0.01577879
-97.71600054	-0.45017220	0.01577879
-97.70784054	-0.45804630	0.01577879
-97.69968054	-0.45017220	0.01577879
-97.69152054	-0.45804630	0.01577879
-97.68336054	-0.45017220	0.01577879
-97.67520054	-0.45017220	0.01577879
-97.66704054	-0.45804630	0.01577879
-97.65888054	-0.45804630	0.01577879
-97.65072054	-0.45804630	0.01577879
-97.64256054	-0.45804630	0.01577879
-97.63440054	-0.45804630	0.01577879
-97.62624054	-0.45804630	0.01577879
-97.61808054	-0.45804630	0.01577879
-97.60992054	-0.45804630	0.01577879
-97.60176054	-0.45804630	0.01577879
-97.59360054	-0.45804630	0.01577879
-97.58544054	-0.45804630	0.01577879
-97.57728054	-0.45804630	0.01577879
-97.56912054	-0.45804630	0.01577879
-97.56096054	-0.45804630	0.01577879
-97.55280054	-0.45804630	0.01577879
-97.54464054	-0.45804630	0.01577879
-97.53648054	-0.45804630	0.01577879
-97.52832054	-0.45804630	0.01577879
-97.52016054	-0.45804630	0.01577879
-97.51200054	-0.46595100	0.01577879
-97.50384054	-0.46595100	0.01577879
-97.49568054	-0.45804630	0.01577879
-97.48752054	-0.46595100	0.01577879
-97.47936054	-0.46595100	0.01577879
-97.47120054	-0.46595100	0.01577879
-97.46304054	-0.46595100	0.01577879
-97.45488054	-0.46595100	0.01577879
-97.44672054	-0.46595100	0.01577879
-97.43856054	-0.46595100	0.01577879
-97.43040054	-0.46595100	0.01577879
-97.42224054	-0.45804630	0.01577879
-97.41408054	-0.46595100	0.01577879
-97.40592054	-0.46595100	0.01577879
-97.39776054	-0.46595100	0.01577879
-97.38960054	-0.46595100	0.01577879
-97.38144054	-0.47385580	0.01577879
-97.37328054	-0.46595100	0.01577879
-97.36512054	-0.46595100	0.01577879
-97.35696054	-0.47385580	0.01577879
-97.34880054	-0.47385580	0.01577879
-97.34064054	-0.47385580	0.01577879
-97.33248054	-0.46595100	0.01577879
-97.32432054	-0.47385580	0.01577879
-97.31616054	-0.47385580	0.01577879
-97.30800054	-0.47385580	0.01577879
-97.29984054	-0.47385580	0.01577879
-97.29168054	-0.47385580	0.01577879
-97.28352054	-0.47385580	0.01577879
-97.27536054	-0.47385580	0.01577879
-97.26720054	-0.47385580	0.01577879
-97.25904054	-0.47385580	0.01577879
-97.25088054	-0.47385580	0.01577879
-97.24272054	-0.47385580	0.01577879
-97.23456054	-0.47385580	0.01577879
-97.22640054	-0.47385580	0.01577879
-97.21824054	-0.47385580	0.01577879
-97.21008054	-0.47385580	0.01577879
-97.20192054	-0.47385580	0.01577879
-97.19376054	-0.47385580	0.01577879
-97.18560054	-0.47385580	0.01577879
-97.17744054	-0.47385580	0.01577879
-97.16928054	-0.47385580	0.01577879
-97.16112054	-0.48176060	0.01577879
-97.15296054	-0.48176060	0.01577879
-97.14480054	-0.47385580	0.01577879
-97.13664054	-0.48176060	0.01577879
-97.12848054	-0.48176060	0.01577879
-97.12032054	-0.48176060	0.01577879
-97.11216054	-0.48176060	0.01577879
-97.10400054	-0.48176060	0.01577879
-97.09584054	-0.48176060	0.01577879
-97.08768053	-0.48176060	0.01577879
-97.07952053	-0.48176060	0.01577879
-97.07136053	-0.48176060	0.01577879
-97.06320053	-0.48176060	0.01577879
-97.05504053	-0.48176060	0.01577879
-97.04688053	-0.48176060	0.01577879
-97.03872053	-0.48963460	0.01577879
-97.03056053	-0.48963460	0.01577879
-97.02240053	-0.48963460	0.01577879
-97.01424053	-0.48963460	0.01577879
-97.00608053	-0.48963460	0.01577879
-96.99792053	-0.48963460	0.01577879
-96.98976053	-0.48963460	0.01577879
-96.98160053	-0.48963460	0.01577879
-96.97344053	-0.48963460	0.01577879
-96.96528053	-0.48963460	0.01577879
-96.95712053	-0.48963460	0.01577879
-96.94896053	-0.48963460	0.01577879
-96.94080053	-0.48963460	0.01577879
-96.93264053	-0.48963460	0.01577879
-96.92448053	-0.48963460	0.01577879
-96.91632053	-0.48963460	0.01577879
-96.90816053	-0.48963460	0.00787402
-96.90000053	-0.48963460	0.01577879
-96.89184053	-0.48963460	0.01577879
-96.88368053	-0.48963460	0.01577879
-96.87552053	-0.48963460	0.01577879
