Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.00000000	-37.79678000	-2.53731100
0.00047684	-37.09968000	-5.51924800
0.00095367	-40.39024000	-13.59885000
0.00143051	-51.48446000	-30.31006000
0.00190735	-78.13828000	-64.65022000
0.00238419	-79.39972000	-64.34178000
0.00286102	-84.17590000	-60.12657000
0.00333786	-79.12936000	-68.32404000
0.00381470	-73.04862000	-66.24514000
0.00429153	-73.33018000	-65.47134000
0.00476837	-79.58090000	-68.64837000
0.00524521	-84.80510000	-66.03619000
0.00572205	-83.28312000	-64.79160000
0.00619888	-79.07015000	-67.66994000
0.00667572	-80.30096000	-71.59148000
0.00715256	-81.20839000	-73.25819000
0.00762939	-81.64915000	-71.43069000
0.00810623	-83.07889000	-70.06465000
0.00858307	-81.80987000	-71.25536000
0.00905991	-80.49551000	-75.34429000
0.00953674	-79.35183000	-73.76337000
0.01001358	-77.67930000	-74.48021000
0.01049042	-80.14088000	-78.06293000
0.01096725	-83.39742000	-78.72899000
0.01144409	-84.24177000	-76.78146000
0.01192093	-85.06569000	-76.34147000
0.01239777	-85.49200000	-77.20757000
0.01287460	-77.07350000	-72.91357000
0.01335144	-68.70947000	-65.83225000
0.01382828	-66.00352000	-63.29998000
0.01430511	-68.34643000	-65.81013000
0.01478195	-76.86079000	-74.19698000
0.01525879	-85.52019000	-81.27005000
0.01573563	-86.51895000	-80.42441000
0.01621246	-88.03045000	-80.93355000
0.01668930	-87.94819000	-81.65892000
0.01716614	-88.42882000	-80.09281000
0.01764297	-89.06763000	-78.83765000
0.01811981	-88.22569000	-78.79742000
0.01859665	-87.52945000	-79.20142000
0.01907349	-87.67896000	-75.64864000
0.01955032	-87.76129000	-74.63142000
0.02002716	-86.60428000	-75.72971000
0.02050400	-86.53350000	-78.67039000
0.02098083	-87.63326000	-79.81158000
0.02145767	-90.18732000	-78.64436000
0.02193451	-89.89216000	-78.48483000
0.02241135	-88.77904000	-79.35320000
0.02288818	-87.33951000	-80.80620000
0.02336502	-87.00008000	-80.99023000
0.02384186	-85.84953000	-81.24814000
0.02431870	-86.67028000	-82.25631000
0.02479553	-88.54143000	-81.05180000
0.02527237	-89.47653000	-78.82837000
0.02574921	-89.37272000	-77.67957000
0.02622604	-89.42058000	-79.24818000
0.02670288	-87.87953000	-78.49615000
0.02717972	-79.41562000	-73.03866000
0.02765656	-76.40244000	-70.61691000
0.02813339	-78.68185000	-73.10268000
0.02861023	-87.44782000	-80.58629000
0.02908707	-89.80746000	-83.17660000
0.02956390	-90.93041000	-82.47227000
0.03004074	-91.49832000	-82.50556000
0.03051758	-91.58923000	-83.38560000
0.03099442	-91.59280000	-82.82420000
0.03147125	-93.11983000	-82.15134000
0.03194809	-92.65544000	-82.32040000
0.03242493	-91.03899000	-81.91375000
0.03290176	-91.02251000	-80.11874000
0.03337860	-91.51186000	-79.08902000
0.03385544	-90.77469000	-79.04121000
0.03433228	-90.55087000	-81.07095000
0.03480911	-91.56758000	-81.47739000
0.03528595	-93.45752000	-79.42724000
0.03576279	-93.22253000	-79.37684000
0.03623962	-92.11311000	-81.25467000
0.03671646	-91.36890000	-83.20580000
0.03719330	-91.07590000	-83.54459000
0.03767014	-90.34156000	-83.58276000
0.03814697	-90.55273000	-83.80910000
0.03862381	-92.05438000	-82.50555000
0.03910065	-93.02229000	-80.59486000
0.03957748	-92.63538000	-79.21284000
0.04005432	-92.62821000	-80.82740000
0.04053116	-94.81995000	-82.01385000
0.04100800	-86.66360000	-78.56454000
0.04148483	-83.31651000	-76.20155000
0.04196167	-85.64682000	-78.54223000
0.04243851	-90.81502000	-83.41182000
0.04291534	-92.78152000	-83.94975000
0.04339218	-93.77939000	-83.20676000
0.04386902	-94.19024000	-83.61553000
0.04434586	-94.14770000	-84.60789000
0.04482269	-93.78785000	-84.75275000
0.04529953	-94.55839000	-84.25151000
0.04577637	-95.29121000	-84.55485000
0.04625320	-93.85686000	-84.56094000
0.04673004	-93.88766000	-83.49646000
0.04720688	-94.43391000	-81.84309000
0.04768372	-93.81069000	-81.08031000
0.04816055	-93.42241000	-82.72898000
0.04863739	-94.33762000	-82.79166000
0.04911423	-95.78414000	-80.64371000
0.04959106	-95.57497000	-80.66646000
0.05006790	-94.51688000	-82.45872000
0.05054474	-94.18410000	-84.05081000
0.05102158	-94.05677000	-84.36645000
0.05149841	-93.51199000	-84.34882000
0.05197525	-93.46207000	-84.32235000
0.05245209	-94.88294000	-83.84024000
0.05292892	-95.80512000	-82.00832000
0.05340576	-95.20477000	-80.80030000
0.05388260	-94.85137000	-82.35715000
0.05435944	-96.18603000	-83.95063000
0.05483627	-92.28069000	-81.43888000
0.05531311	-88.60086000	-79.80075000
0.05578995	-91.13273000	-81.52885000
0.05626678	-93.12995000	-84.64278000
0.05674362	-95.14603000	-84.86179000
0.05722046	-96.10590000	-84.46553000
0.05769730	-95.99067000	-84.76079000
0.05817413	-96.08562000	-85.77383000
0.05865097	-95.96577000	-85.59076000
0.05912781	-96.26037000	-85.34295000
0.05960464	-96.82206000	-85.90688000
0.06008148	-95.69213000	-85.67289000
0.06055832	-95.64178000	-84.12656000
0.06103516	-96.18349000	-82.98666000
0.06151199	-95.74120000	-82.83940000
0.06198883	-95.51211000	-84.40311000
0.06246567	-96.13045000	-84.29391000
0.06294250	-96.67055000	-82.69401000
0.06341934	-96.93940000	-82.43649000
0.06389618	-96.46913000	-83.43677000
0.06437302	-96.11269000	-85.11290000
0.06484985	-96.15202000	-85.48795000
0.06532669	-96.00471000	-85.21919000
0.06580353	-95.85912000	-84.98515000
0.06628036	-96.40365000	-84.54433000
0.06675720	-97.05524000	-83.04346000
0.06723404	-96.82526000	-81.98836000
0.06771088	-96.76791000	-83.44375000
0.06818771	-97.57664000	-85.24490000
0.06866455	-96.26889000	-83.76154000
0.06914139	-92.98074000	-82.74969000
0.06961823	-94.79134000	-83.93946000
0.07009506	-95.07283000	-85.63522000
0.07057190	-96.77377000	-86.34288000
0.07104874	-97.79203000	-85.78981000
0.07152557	-97.53763000	-85.67778000
0.07200241	-97.46343000	-86.13176000
0.07247925	-97.21095000	-86.35123000
0.07295609	-97.16177000	-86.69289000
0.07343292	-97.95944000	-86.69720000
0.07390976	-97.54845000	-86.59209000
0.07438660	-97.63130000	-85.35948000
0.07486343	-97.89127000	-84.85872000
0.07534027	-97.32481000	-84.48189000
0.07581711	-97.05595000	-85.22310000
0.07629395	-97.69192000	-85.37079000
0.07677078	-98.43223000	-83.92619000
0.07724762	-98.39148000	-83.25423000
0.07772446	-97.88248000	-84.19785000
0.07820129	-98.00069000	-85.45946000
0.07867813	-98.01278000	-85.68725000
0.07915497	-97.75987000	-85.45936000
0.07963181	-97.35365000	-85.80213000
0.08010864	-97.99355000	-85.85484000
0.08058548	-98.48795000	-84.80211000
0.08106232	-98.24220000	-84.04752000
0.08153915	-98.36396000	-85.01938000
0.08201599	-99.02738000	-85.90452000
0.08249283	-98.79022000	-85.19155000
0.08296967	-96.66925000	-84.37446000
0.08344650	-96.52282000	-84.89741000
0.08392334	-96.67163000	-86.29016000
0.08440018	-98.61994000	-86.69607000
0.08487701	-99.39668000	-86.19439000
0.08535385	-98.97538000	-86.69319000
0.08583069	-98.86957000	-87.42661000
0.08630753	-98.50052000	-87.36873000
0.08678436	-98.60993000	-87.01862000
0.08726120	-99.12091000	-87.08838000
0.08773804	-98.83687000	-87.55431000
0.08821487	-98.94193000	-86.65266000
0.08869171	-99.04079000	-85.55299000
0.08916855	-98.63982000	-85.60400000
0.08964539	-98.60577000	-86.15543000
0.09012222	-99.11226000	-85.73529000
0.09059906	-99.63696000	-84.23843000
0.09107590	-99.49895000	-84.05592000
0.09155273	-99.08625000	-84.79132000
0.09202957	-99.16572000	-86.16338000
0.09250641	-99.04103000	-86.77876000
0.09298325	-98.81306000	-86.61155000
0.09346008	-99.00731000	-86.49812000
0.09393692	-99.44392000	-86.25189000
0.09441376	-99.69542000	-85.80598000
0.09489059	-99.51659000	-85.17984000
0.09536743	-99.20958000	-86.32578000
0.09584427	-100.06670000	-87.20033000
0.09632111	-100.26140000	-86.73609000
0.09679794	-99.05225000	-86.17123000
0.09727478	-98.03541000	-86.41142000
0.09775162	-98.00571000	-86.92786000
0.09822845	-98.93993000	-87.42649000
0.09870529	-99.40947000	-87.16475000
0.09918213	-99.37162000	-87.01062000
0.09965897	-99.49353000	-87.55714000
0.10013580	-99.54087000	-87.57095000
0.10061264	-99.32285000	-87.77818000
0.10108948	-99.87199000	-88.16745000
0.10156631	-100.07920000	-87.41796000
0.10204315	-100.04780000	-86.57042000
0.10251999	-99.96822000	-86.25690000
0.10299683	-99.58894000	-86.18058000
0.10347366	-99.47636000	-86.95789000
0.10395050	-100.03960000	-86.39378000
0.10442734	-100.60900000	-84.96002000
0.10490417	-100.58940000	-84.96172000
0.10538101	-100.60550000	-85.70124000
0.10585785	-100.42720000	-86.53612000
0.10633469	-100.07000000	-86.85843000
0.10681152	-99.91019000	-87.01181000
0.10728836	-99.96920000	-86.92387000
0.10776520	-100.18910000	-86.99570000
0.10824203	-100.46030000	-86.73536000
0.10871887	-100.60070000	-86.54453000
0.10919571	-100.49590000	-87.10926000
0.10967255	-100.68600000	-87.36596000
0.11014938	-101.49180000	-86.75400000
0.11062622	-100.99940000	-86.27748000
0.11110306	-99.52857000	-86.59452000
0.11157990	-99.05615000	-87.51917000
0.11205673	-100.02760000	-87.81248000
0.11253357	-100.62800000	-87.52335000
0.11301041	-100.56780000	-87.57298000
0.11348724	-100.23650000	-88.05399000
0.11396408	-100.43020000	-88.18579000
0.11444092	-100.54390000	-88.01343000
0.11491776	-100.87180000	-88.12366000
0.11539459	-100.92790000	-87.93885000
0.11587143	-100.66280000	-87.18491000
0.11634827	-100.24600000	-86.73032000
0.11682510	-99.97117000	-87.35702000
0.11730194	-100.14000000	-87.68061000
0.11777878	-100.45370000	-86.67586000
0.11825562	-100.82240000	-85.86832000
0.11873245	-100.85370000	-86.01534000
0.11920929	-100.67860000	-86.99986000
