Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.00000000	-42.84172000	7.94074000
0.00381470	-45.61789000	4.95704000
0.00762939	-53.12250000	-3.13065000
0.01144409	-68.22917000	-19.88183000
0.01525879	-66.17662000	-54.49852000
0.01907349	-69.94078000	-53.89300000
0.02288818	-80.23275000	-51.68605000
0.02670288	-77.41778000	-58.27111000
0.03051758	-76.68844000	-61.41343000
0.03433228	-82.43580000	-62.41588000
0.03814697	-88.27222000	-61.97905000
0.04196167	-82.67695000	-64.78320000
0.04577637	-83.86562000	-65.97617000
0.04959106	-92.13167000	-66.93582000
0.05340576	-90.43295000	-67.35448000
0.05722046	-86.73576000	-67.66219000
0.06103516	-89.92909000	-69.11185000
0.06484985	-96.03127000	-69.59102000
0.06866455	-91.95974000	-69.73327000
0.07247925	-90.80325000	-70.11529000
0.07629395	-96.55421000	-71.21342000
0.08010864	-97.31826000	-71.17988000
0.08392334	-93.01263000	-70.26728000
0.08773804	-94.49157000	-70.50728000
0.09155273	-100.53700000	-71.37025000
0.09536743	-98.15633000	-71.25034000
0.09918213	-95.21282000	-71.36322000
0.10299683	-98.45794000	-71.81760000
0.10681152	-102.36220000	-71.97617000
0.11062622	-98.60186000	-71.99568000
0.11444092	-97.68916000	-72.44271000
0.11825562	-101.92240000	-73.12491000
0.12207031	-103.29560000	-73.02402000
0.12588501	-99.79390000	-72.98259000
0.12969971	-100.95870000	-72.81809000
0.13351440	-105.24900000	-72.70631000
0.13732910	-103.76750000	-72.60134000
0.14114380	-101.05200000	-73.08188000
0.14495850	-103.90120000	-72.61347000
0.14877319	-106.29810000	-72.67671000
0.15258789	-103.43640000	-73.22303000
0.15640259	-103.08820000	-73.93836000
0.16021729	-106.94710000	-74.93073000
0.16403198	-106.76030000	-74.59034000
0.16784668	-104.16310000	-73.81938000
0.17166138	-105.36050000	-74.32970000
0.17547607	-107.98180000	-74.21426000
0.17929077	-107.02360000	-73.85790000
0.18310547	-104.93820000	-73.17389000
0.18692017	-107.34340000	-73.01940000
0.19073486	-108.03450000	-72.92278000
0.19454956	-106.68950000	-73.48226000
0.19836426	-106.44350000	-73.49360000
0.20217896	-107.79070000	-73.94559000
0.20599365	-107.61890000	-74.00302000
0.20980835	-106.82420000	-73.89826000
0.21362305	-107.89970000	-74.74221000
0.21743774	-110.65780000	-74.83147000
0.22125244	-109.14550000	-75.06957000
0.22506714	-107.23030000	-75.45742000
0.22888184	-109.45300000	-74.68855000
0.23269653	-111.66290000	-74.16406000
0.23651123	-109.70580000	-74.30529000
0.24032593	-108.56110000	-74.42223000
0.24414063	-109.91660000	-74.07399000
0.24795532	-110.18550000	-74.40500000
0.25177002	-109.03810000	-74.25405000
0.25558472	-109.51900000	-73.84269000
0.25939941	-109.60260000	-74.33202000
0.26321411	-107.86450000	-74.29463000
0.26702881	-107.76110000	-74.15227000
0.27084351	-108.31810000	-74.49365000
0.27465820	-108.56110000	-74.49724000
0.27847290	-108.95340000	-74.23033000
0.28228760	-110.02170000	-74.03781000
0.28610229	-112.33180000	-74.13462000
0.28991699	-111.68770000	-74.76133000
0.29373169	-109.89340000	-73.85651000
0.29754639	-109.74270000	-74.08983000
0.30136108	-111.75610000	-74.43922000
0.30517578	-113.07720000	-74.40138000
0.30899048	-110.76910000	-74.56168000
0.31280518	-109.50520000	-74.07370000
0.31661987	-110.40240000	-73.81865000
0.32043457	-110.32400000	-73.75899000
0.32424927	-109.58620000	-74.04469000
0.32806396	-109.88060000	-75.20317000
0.33187866	-108.55510000	-75.37354000
0.33569336	-108.65630000	-75.41920000
0.33950806	-108.73900000	-75.77190000
0.34332275	-109.09720000	-75.80326000
0.34713745	-109.44900000	-74.92494000
0.35095215	-109.72650000	-74.42735000
0.35476685	-111.39960000	-74.27843000
0.35858154	-112.09650000	-74.09449000
0.36239624	-111.45440000	-74.64217000
0.36621094	-111.20090000	-74.52897000
0.37002563	-110.75470000	-73.90852000
0.37384033	-110.75200000	-73.71939000
0.37765503	-110.59140000	-73.88661000
0.38146973	-110.84440000	-73.76550000
0.38528442	-111.92320000	-73.65401000
0.38909912	-111.39480000	-73.82160000
0.39291382	-110.02380000	-73.47952000
0.39672852	-109.46750000	-73.70095000
0.40054321	-110.10590000	-74.12550000
0.40435791	-110.53730000	-74.13364000
0.40817261	-109.88630000	-73.87272000
0.41198730	-109.76170000	-74.39293000
0.41580200	-110.57010000	-75.64095000
0.41961670	-111.17400000	-75.21468000
0.42343140	-110.96540000	-74.29746000
0.42724609	-112.12070000	-73.80157000
0.43106079	-112.42850000	-73.36191000
0.43487549	-112.61200000	-74.02443000
0.43869019	-111.62490000	-74.26453000
0.44250488	-111.05360000	-74.63729000
0.44631958	-110.75980000	-73.63864000
0.45013428	-111.40920000	-73.53795000
0.45394897	-110.97050000	-73.33759000
0.45776367	-110.64450000	-73.39354000
0.46157837	-110.14690000	-73.30639000
0.46539307	-109.96670000	-72.73016000
0.46920776	-110.81890000	-72.18044000
0.47302246	-109.11600000	-72.11861000
0.47683716	-108.04250000	-72.54616000
0.48065186	-107.92900000	-72.69312000
0.48446655	-109.45380000	-72.00035000
0.48828125	-110.59000000	-72.07013000
0.49209595	-110.67060000	-72.21834000
0.49591064	-112.13370000	-71.76070000
0.49972534	-112.47210000	-71.69234000
0.50354004	-111.89340000	-72.21809000
0.50735474	-111.30320000	-72.35671000
0.51116943	-110.93320000	-72.57771000
0.51498413	-110.09640000	-72.66219000
0.51879883	-110.10480000	-73.03630000
0.52261353	-109.86830000	-72.69328000
0.52642822	-109.42700000	-71.53227000
0.53024292	-109.98060000	-70.91001000
0.53405762	-110.31180000	-70.83288000
0.53787231	-110.06460000	-70.25677000
0.54168701	-109.97620000	-70.08896000
0.54550171	-109.47700000	-70.58177000
0.54931641	-109.78460000	-70.37121000
0.55313110	-109.85150000	-70.16916000
0.55694580	-109.43440000	-69.86046000
0.56076050	-108.95830000	-70.48392000
0.56457520	-109.25900000	-70.77052000
0.56838989	-109.28790000	-71.16145000
0.57220459	-108.10190000	-71.13338000
0.57601929	-107.43820000	-70.27065000
0.57983398	-107.82900000	-69.48351000
0.58364868	-108.10900000	-68.91597000
0.58746338	-108.04560000	-69.76006000
0.59127808	-108.09220000	-70.34550000
0.59509277	-109.04350000	-69.65271000
0.59890747	-109.14120000	-68.75797000
0.60272217	-110.16220000	-68.38805000
0.60653687	-109.21560000	-68.56413000
0.61035156	-109.05090000	-68.41049000
0.61416626	-109.98950000	-68.48689000
0.61798096	-108.55020000	-68.45344000
0.62179565	-108.79960000	-68.69637000
0.62561035	-110.27260000	-68.90443000
0.62942505	-112.35490000	-68.88879000
0.63323975	-113.38390000	-68.46044000
0.63705444	-112.88210000	-68.16293000
0.64086914	-113.24540000	-68.62098000
0.64468384	-112.46290000	-68.81291000
0.64849854	-112.41490000	-68.70875000
0.65231323	-112.75120000	-69.18742000
0.65612793	-113.18030000	-69.76942000
0.65994263	-113.40960000	-68.77525000
0.66375732	-113.62970000	-69.21354000
0.66757202	-113.39400000	-67.87296000
0.67138672	-112.58440000	-67.69995000
0.67520142	-112.39380000	-67.44862000
0.67901611	-113.63980000	-68.25286000
0.68283081	-112.97280000	-68.43153000
0.68664551	-112.14580000	-67.81277000
0.69046021	-111.83860000	-67.66518000
0.69427490	-111.77770000	-67.94747000
0.69808960	-112.13260000	-67.49689000
0.70190430	-111.17300000	-67.30855000
0.70571899	-111.60870000	-67.84089000
0.70953369	-111.78050000	-68.41011000
0.71334839	-111.91590000	-69.04533000
0.71716309	-111.09260000	-68.93856000
0.72097778	-110.74790000	-69.35663000
0.72479248	-111.00310000	-69.36606000
0.72860718	-110.26300000	-69.11890000
0.73242188	-109.56680000	-68.95238000
0.73623657	-110.20530000	-68.90987000
0.74005127	-110.24400000	-68.99863000
0.74386597	-109.99650000	-68.90640000
0.74768066	-110.01900000	-69.53196000
0.75149536	-109.31470000	-69.85281000
0.75531006	-108.96080000	-69.85686000
0.75912476	-108.51970000	-69.42181000
0.76293945	-108.35160000	-69.59868000
0.76675415	-108.50450000	-70.14375000
0.77056885	-107.40050000	-70.11487000
0.77438354	-106.81940000	-70.37883000
0.77819824	-107.50070000	-70.76140000
0.78201294	-108.08050000	-70.79461000
0.78582764	-107.77810000	-70.82206000
0.78964233	-106.01180000	-70.49475000
0.79345703	-106.53810000	-70.43134000
0.79727173	-106.98880000	-70.32710000
0.80108643	-106.12410000	-70.42681000
0.80490112	-105.25150000	-70.64126000
0.80871582	-105.38620000	-71.10928000
0.81253052	-105.76860000	-71.15746000
0.81634521	-105.69330000	-71.56760000
0.82015991	-105.64140000	-72.05817000
0.82397461	-105.33000000	-72.11987000
0.82778931	-104.24900000	-71.72727000
0.83160400	-104.36590000	-72.24561000
0.83541870	-104.29610000	-73.10209000
0.83923340	-104.12800000	-72.73614000
0.84304810	-104.09150000	-72.65881000
0.84686279	-103.98930000	-72.64574000
0.85067749	-103.41410000	-72.37389000
0.85449219	-103.31980000	-72.02171000
0.85830688	-103.14750000	-72.68248000
0.86212158	-103.20300000	-72.65205000
0.86593628	-103.91890000	-72.86642000
0.86975098	-103.64040000	-73.11534000
0.87356567	-103.57110000	-73.21957000
0.87738037	-103.91610000	-73.22730000
0.88119507	-103.80280000	-73.58572000
0.88500977	-104.21850000	-74.06590000
0.88882446	-104.95090000	-74.52968000
0.89263916	-105.23890000	-74.24514000
0.89645386	-104.75660000	-74.16783000
0.90026855	-104.53250000	-74.50758000
0.90408325	-105.49220000	-74.35427000
0.90789795	-106.30960000	-74.24715000
0.91171265	-105.73300000	-74.07127000
0.91552734	-105.93480000	-74.09112000
0.91934204	-105.66820000	-74.14692000
0.92315674	-106.46810000	-75.15960000
0.92697144	-106.27050000	-74.19997000
0.93078613	-106.81830000	-74.18990000
0.93460083	-107.07170000	-74.23544000
0.93841553	-106.99120000	-74.17108000
0.94223022	-106.50360000	-75.09126000
0.94604492	-106.71680000	-74.32811000
0.94985962	-106.69010000	-74.10857000
0.95367432	-105.85490000	-74.07816000
