Frequenz	Kanal A	Kanal B
(MHz)	(dBV)	(dBV)

0.00000000	-37.22075000	-20.12268000
0.00047684	-36.90230000	-23.02920000
0.00095367	-40.32364000	-30.80895000
0.00143051	-51.44582000	-46.47644000
0.00190735	-77.92073000	-65.74089000
0.00238419	-79.25111000	-68.11025000
0.00286102	-83.87679000	-68.71503000
0.00333786	-78.65587000	-72.52669000
0.00381470	-73.11473000	-70.51533000
0.00429153	-73.31261000	-71.93915000
0.00476837	-79.73861000	-73.90418000
0.00524521	-84.44411000	-72.88361000
0.00572205	-82.71938000	-72.82111000
0.00619888	-78.80991000	-73.11819000
0.00667572	-80.22121000	-74.97936000
0.00715256	-81.42028000	-78.92783000
0.00762939	-81.87292000	-81.02837000
0.00810623	-83.58170000	-82.90574000
0.00858307	-81.83879000	-84.01585000
0.00905991	-80.63827000	-84.19810000
0.00953674	-79.64545000	-81.13379000
0.01001358	-77.90372000	-79.85034000
0.01049042	-80.52779000	-81.73485000
0.01096725	-83.70260000	-82.27257000
0.01144409	-84.39684000	-81.62795000
0.01192093	-85.15425000	-81.92716000
0.01239777	-85.52102000	-83.74714000
0.01287460	-77.14370000	-73.75649000
0.01335144	-68.75346000	-65.70261000
0.01382828	-66.02130000	-63.15328000
0.01430511	-68.33484000	-65.58810000
0.01478195	-76.84679000	-73.78638000
0.01525879	-85.79155000	-84.35472000
0.01573563	-86.61346000	-83.38093000
0.01621246	-88.25755000	-83.25969000
0.01668930	-87.99253000	-83.97581000
0.01716614	-88.32501000	-82.46452000
0.01764297	-88.58882000	-81.40573000
0.01811981	-88.06581000	-83.21326000
0.01859665	-87.76205000	-83.41502000
0.01907349	-87.56779000	-80.22240000
0.01955032	-87.55582000	-77.31310000
0.02002716	-86.60625000	-76.39349000
0.02050400	-86.85688000	-79.11765000
0.02098083	-87.83878000	-81.49760000
0.02145767	-90.57146000	-79.43100000
0.02193451	-90.33561000	-81.13666000
0.02241135	-89.51678000	-85.23598000
0.02288818	-87.62838000	-86.19539000
0.02336502	-87.01302000	-85.82011000
0.02384186	-85.97758000	-84.06849000
0.02431870	-86.84225000	-84.75423000
0.02479553	-88.72835000	-85.77670000
0.02527237	-89.51507000	-85.97440000
0.02574921	-89.60021000	-86.21695000
0.02622604	-89.72350000	-87.30089000
0.02670288	-87.47910000	-80.40951000
0.02717972	-79.44179000	-72.51843000
0.02765656	-76.35825000	-69.83363000
0.02813339	-78.60320000	-72.06258000
0.02861023	-87.62473000	-79.53126000
0.02908707	-90.10818000	-86.14173000
0.02956390	-91.08144000	-86.19288000
0.03004074	-91.50976000	-85.61040000
0.03051758	-91.43503000	-86.02255000
0.03099442	-91.70337000	-85.01944000
0.03147125	-93.18519000	-84.28657000
0.03194809	-93.10426000	-84.73106000
0.03242493	-91.50621000	-84.76363000
0.03290176	-91.34428000	-82.42266000
0.03337860	-91.81702000	-79.68213000
0.03385544	-91.10962000	-78.36401000
0.03433228	-90.77859000	-81.12869000
0.03480911	-91.83788000	-81.44802000
0.03528595	-93.75063000	-79.11971000
0.03576279	-93.21727000	-80.24561000
0.03623962	-92.30824000	-83.78440000
0.03671646	-91.40820000	-86.08283000
0.03719330	-90.86299000	-85.00990000
0.03767014	-90.43594000	-84.40563000
0.03814697	-90.84192000	-85.77074000
0.03862381	-92.42249000	-88.17459000
0.03910065	-93.57227000	-88.09466000
0.03957748	-93.02103000	-88.84730000
0.04005432	-92.73382000	-88.75304000
0.04053116	-95.04401000	-85.13385000
0.04100800	-86.64101000	-77.93230000
0.04148483	-83.26641000	-74.94706000
0.04196167	-85.54569000	-76.89933000
0.04243851	-90.78518000	-83.21725000
0.04291534	-92.92513000	-87.19517000
0.04339218	-94.10334000	-86.75522000
0.04386902	-94.34982000	-86.02910000
0.04434586	-94.13245000	-86.31941000
0.04482269	-93.52789000	-86.17833000
0.04529953	-94.50440000	-86.08574000
0.04577637	-95.44592000	-86.96078000
0.04625320	-93.70305000	-86.81370000
0.04673004	-93.56545000	-84.16005000
0.04720688	-94.18970000	-80.70653000
0.04768372	-94.14193000	-79.67587000
0.04816055	-93.57940000	-82.27647000
0.04863739	-94.30669000	-82.75224000
0.04911423	-96.31036000	-80.50149000
0.04959106	-95.82087000	-81.59155000
0.05006790	-94.81995000	-85.07394000
0.05054474	-94.23195000	-86.41326000
0.05102158	-94.33170000	-85.56979000
0.05149841	-94.38123000	-85.44228000
0.05197525	-93.96539000	-86.69725000
0.05245209	-94.78784000	-87.31856000
0.05292892	-95.71510000	-87.65852000
0.05340576	-95.29405000	-88.30767000
0.05388260	-95.02430000	-88.09171000
0.05435944	-96.42498000	-85.33810000
0.05483627	-92.29568000	-81.09824000
0.05531311	-88.52808000	-78.67970000
0.05578995	-90.91097000	-80.43419000
0.05626678	-93.17175000	-85.31947000
0.05674362	-95.49850000	-87.54560000
0.05722046	-96.31484000	-86.70448000
0.05769730	-95.60685000	-86.45947000
0.05817413	-95.82784000	-86.35832000
0.05865097	-95.62743000	-86.63118000
0.05912781	-96.36579000	-85.85606000
0.05960464	-97.13382000	-87.09447000
0.06008148	-96.03397000	-86.67175000
0.06055832	-96.19188000	-84.13557000
0.06103516	-96.47979000	-82.19456000
0.06151199	-95.71546000	-80.85905000
0.06198883	-95.79854000	-82.88053000
0.06246567	-96.50526000	-82.89537000
0.06294250	-96.79871000	-81.17097000
0.06341934	-96.66484000	-82.13923000
0.06389618	-96.50132000	-85.15773000
0.06437302	-95.80083000	-86.76972000
0.06484985	-95.47816000	-86.80382000
0.06532669	-95.59094000	-85.85699000
0.06580353	-95.61382000	-87.15015000
0.06628036	-96.75400000	-88.10873000
0.06675720	-97.41682000	-88.16782000
0.06723404	-97.13902000	-88.68549000
0.06771088	-97.59092000	-88.24409000
0.06818771	-98.50741000	-86.15403000
0.06866455	-95.75382000	-83.69339000
0.06914139	-92.76140000	-81.30122000
0.06961823	-94.85068000	-82.83714000
0.07009506	-95.22677000	-86.44863000
0.07057190	-97.42715000	-87.85609000
0.07104874	-97.67029000	-88.84896000
0.07152557	-97.96279000	-88.18834000
0.07200241	-98.25817000	-86.95399000
0.07247925	-97.90993000	-87.27843000
0.07295609	-97.56820000	-87.42111000
0.07343292	-97.86281000	-87.67336000
0.07390976	-97.96391000	-87.66017000
0.07438660	-97.96255000	-85.23631000
0.07486343	-97.67784000	-83.37298000
0.07534027	-97.10375000	-82.18767000
0.07581711	-97.46773000	-83.44768000
0.07629395	-97.90198000	-83.31908000
0.07677078	-98.65122000	-82.05288000
0.07724762	-98.56660000	-82.78849000
0.07772446	-98.29986000	-85.30196000
0.07820129	-98.01466000	-86.93114000
0.07867813	-98.15717000	-86.49107000
0.07915497	-97.47547000	-85.95740000
0.07963181	-97.54094000	-87.06345000
0.08010864	-98.77354000	-88.47620000
0.08058548	-98.66659000	-89.43420000
0.08106232	-97.28901000	-89.12693000
0.08153915	-97.15034000	-88.95923000
0.08201599	-98.21201000	-87.72304000
0.08249283	-99.13948000	-85.00531000
0.08296967	-96.29080000	-82.68246000
0.08344650	-96.53356000	-83.21986000
0.08392334	-96.97668000	-86.06348000
0.08440018	-98.70365000	-88.02692000
0.08487701	-99.41029000	-88.32364000
0.08535385	-98.90780000	-88.05548000
0.08583069	-99.06945000	-87.50581000
0.08630753	-99.35825000	-87.45171000
0.08678436	-98.67044000	-87.42145000
0.08726120	-98.87461000	-88.02359000
0.08773804	-98.77374000	-87.52013000
0.08821487	-99.55368000	-85.66643000
0.08869171	-99.60924000	-84.26145000
0.08916855	-98.43145000	-83.60223000
0.08964539	-98.24728000	-85.11578000
0.09012222	-99.27293000	-84.87054000
0.09059906	-99.96796000	-82.83639000
0.09107590	-99.38862000	-83.65675000
0.09155273	-98.98064000	-85.67470000
0.09202957	-99.43456000	-86.87959000
0.09250641	-99.63775000	-87.09436000
0.09298325	-99.46587000	-86.55377000
0.09346008	-98.92214000	-87.17964000
0.09393692	-99.14452000	-88.73096000
0.09441376	-99.31226000	-88.93064000
0.09489059	-99.78683000	-89.05799000
0.09536743	-99.10365000	-88.82391000
0.09584427	-100.00720000	-87.84389000
0.09632111	-100.09380000	-85.74474000
0.09679794	-99.28032000	-84.39922000
0.09727478	-98.57933000	-85.58177000
0.09775162	-98.62759000	-87.76517000
0.09822845	-99.96325000	-88.23302000
0.09870529	-99.45013000	-88.66851000
0.09918213	-98.46645000	-88.57813000
0.09965897	-98.93386000	-88.00730000
0.10013580	-99.76874000	-88.56380000
0.10061264	-99.44902000	-88.11987000
0.10108948	-99.16331000	-89.17616000
0.10156631	-99.37198000	-88.38973000
0.10204315	-99.83102000	-86.88153000
0.10251999	-99.83739000	-85.08433000
0.10299683	-99.81770000	-84.41824000
0.10347366	-99.88701000	-84.83571000
0.10395050	-100.54630000	-85.07587000
0.10442734	-100.83070000	-84.47200000
0.10490417	-100.45500000	-85.11710000
0.10538101	-101.03930000	-86.32291000
0.10585785	-101.48010000	-87.39172000
0.10633469	-101.03350000	-87.17503000
0.10681152	-100.68110000	-87.44107000
0.10728836	-100.17280000	-88.15686000
0.10776520	-100.47960000	-88.92484000
0.10824203	-101.08520000	-88.72263000
0.10871887	-100.38190000	-88.41474000
0.10919571	-100.32980000	-88.55548000
0.10967255	-100.60870000	-88.19974000
0.11014938	-101.47010000	-86.77847000
0.11062622	-100.55760000	-86.27858000
0.11110306	-99.79953000	-86.37071000
0.11157990	-99.20171000	-88.30631000
0.11205673	-100.26550000	-88.26288000
0.11253357	-100.99810000	-88.24695000
0.11301041	-101.53140000	-88.77989000
0.11348724	-100.45350000	-88.87884000
0.11396408	-100.39830000	-88.40003000
0.11444092	-100.35680000	-88.02264000
0.11491776	-100.71950000	-88.20663000
0.11539459	-100.83290000	-89.05893000
0.11587143	-100.38530000	-87.90469000
0.11634827	-100.39230000	-86.39468000
0.11682510	-100.75280000	-85.62157000
0.11730194	-100.50820000	-85.90722000
0.11777878	-100.87110000	-85.35851000
0.11825562	-101.18500000	-84.75791000
0.11873245	-101.59770000	-84.91888000
0.11920929	-101.22550000	-85.35361000
